Term,Estimate,Std Error,P. Val.
Intercept,139.3817,352.4014,0.6925
year,-0.0654,0.1745,0.7077
month,-0.0495,0.0295,0.0934
day,0.0077,0.0102,0.4496
weekday,0.0197,0.0586,0.737
hour,0.0602,0.0353,0.0879
case_topic[d_2-z_4],-0.3368,0.4635,0.4675
case_topic[g_1-z_4],0.0000,0.0000,1
case_topic[j_1-z_4],-1.2246,0.2876,<.0001
case_topic[q_3-z_4],0.2251,0.2842,0.4283
case_topic[r_2-z_4],1.1927,0.4318,0.0057
case_topic[w_1-z_4],-1.1476,0.5064,0.0234
case_topic[w_2-z_4],0.2342,0.4092,0.567
case_topic[z_2-z_4],-0.1040,0.3260,0.7496
case_topic[z_3-z_4],0.1695,0.2429,0.4853
