theta_idx,agent_idx,arrival_q,est_throughputtime,est_NPS,est_NPS_priority,case_currently_arrived,case_currently_assigned,case_queued,status,queue_order,casedb_idx
11,4,3.982320879554598,3.35863575073434,8.41619809062,0.91619809062,True,False,False,closed,0,0
8,5,2.8984656089722893,2.949472049634485,8.428519416579999,0.9285194165799986,True,False,False,closed,1,1
19,4,6.906318700161717,2.945462550280101,8.4286484357,0.9286484356999996,True,False,False,open,2,2
5,5,1.8340716174992737,2.764446497987486,8.43466395217,0.9346639521700002,True,False,False,closed,3,3
7,0,2.76567294796963,2.426003851333436,8.44704978769,0.9470497876900001,True,False,False,closed,4,4
18,5,6.733253811358441,2.2699452770565536,8.45335559718,0.9533555971799998,True,False,False,open,5,5
16,2,5.691201029945163,2.1275375967085215,8.45950013277,0.9595001327699997,True,False,False,open,6,6
22,0,8.630838412805705,1.996096985781539,8.46554790402,0.9655479040199992,True,False,False,open,7,7
4,4,1.5728625521467208,1.7522932872119432,8.47790148476,0.9779014847600003,True,False,False,closed,8,8
29,,10.556753955810644,1.7511016607533259,8.47796599432,0.9779659943199999,False,False,False,open,9,9
14,1,4.508128751340653,1.6401181563800895,8.48417503947,0.9841750394699993,True,False,False,closed,10,10
3,3,1.4622464837406306,1.5382574665170585,8.4902550655,0.9902550654999995,True,False,False,closed,11,11
26,,9.448532430785516,1.440758519217396,8.496464110649999,0.996464110649999,True,False,True,open,12,12
28,,10.450988944875542,1.4402685085162885,8.49649636543,0.9964963654299996,False,False,False,open,13,13
13,6,4.417690966911055,1.4397786643905104,8.496528620209999,0.9965286202099986,True,False,False,closed,14,14
21,6,8.385358975347698,1.350354933416394,8.502608646239999,1.0026086462399988,True,False,False,open,15,15
25,,9.39973869819551,1.3498956547097238,8.50264090102,1.0026409010199995,True,False,True,open,16,16
20,1,8.305847284380853,1.1853948728479524,8.51496222698,1.0149622269799998,True,False,False,open,17,17
2,2,1.2967509109346838,1.1853948728479524,8.51496222698,1.0149622269799998,True,False,False,closed,18,18
6,6,2.272849267730801,1.110251225398227,8.52117127213,1.0211712721299993,True,False,False,closed,19,19
27,,10.254229918474904,1.109873568075862,8.52120352691,1.02120352691,False,False,False,open,20,20
24,,9.234682565807288,1.0402220892286538,8.5273480625,1.0273480624999998,True,False,True,open,21,21
23,,9.221434707534526,1.0402220892286538,8.5273480625,1.0273480624999998,True,False,True,open,22,22
1,1,1.1914681346596627,0.9749389412273891,8.53349259809,1.0334925980899996,True,False,False,closed,23,23
9,2,3.125489903291915,0.9128178975665663,8.53973389802,1.0397338980199997,True,False,False,closed,24,24
10,1,3.1299610697851303,0.9128178975665663,8.53973389802,1.0397338980199997,True,False,False,closed,25,25
15,0,5.1274646576716005,0.9121969203301914,8.53979840758,1.0397984075799993,True,False,False,closed,26,26
12,3,4.099827964369958,0.8549431250951786,8.54594294317,1.0459429431699991,True,False,False,closed,27,27
0,0,1.0091868699359205,0.7512383015347259,8.55819975957,1.05819975957,True,False,False,closed,28,28
17,3,6.015803437342916,0.7499611017939336,8.55836103347,1.0583610334699998,True,False,False,open,29,29
